-0.100000000000000E-01 -0.106066017177982E+00  0.106066017177982E+00 1 2 1 9 4  
-0.100000000000000E-01  0.106066017177982E+00  0.106066017177982E+00 1 1 4 19 1  
-0.100000000000000E-01  0.106066017177982E+00 -0.106066017177982E+00 2 1 19 14 1  
-0.100000000000000E-01 -0.106066017177982E+00 -0.106066017177982E+00 3 1 14 9 1  
 0.101000000000000E+01  0.106066017177982E+00  0.106066017177982E+00 5 2 2 22 7  
 0.101000000000000E+01 -0.106066017177982E+00  0.106066017177982E+00 5 1 7 12 2  
 0.101000000000000E+01 -0.106066017177982E+00 -0.106066017177982E+00 6 1 12 17 2  
 0.101000000000000E+01  0.106066017177982E+00 -0.106066017177982E+00 7 1 17 22 2  
 0.475148914734884E-02  0.112287887912842E+00  0.112287887912843E+00 9 2 3 18 19 4  
 0.475148914734884E-02 -0.112287887912842E+00  0.112287887912843E+00 9 1 4 9 8 3  
 0.252527515029890E+00 -0.176776695296637E-01  0.176776695296637E-01 10 1 8 10 5 3  
 0.252527515029890E+00  0.176776695296637E-01  0.176776695296637E-01 11 1 5 20 18 3  
 0.747472484970111E+00 -0.176776695296636E-01  0.176776695296637E-01 15 1 10 11 6 5  
 0.747472484970111E+00  0.176776695296636E-01  0.176776695296637E-01 16 1 6 21 20 5  
 0.995248510852651E+00 -0.112287887912842E+00  0.112287887912843E+00 18 2 6 11 12 7  
 0.995248510852651E+00  0.112287887912842E+00  0.112287887912843E+00 18 1 7 22 21 6  
 0.475148914734884E-02 -0.112287887912843E+00 -0.112287887912842E+00 23 1 9 14 13 8  
 0.252527515029890E+00 -0.176776695296637E-01 -0.176776695296637E-01 24 1 13 15 10 8  
 0.747472484970111E+00 -0.176776695296637E-01 -0.176776695296636E-01 27 1 15 16 11 10  
 0.995248510852651E+00 -0.112287887912843E+00 -0.112287887912842E+00 29 1 16 17 12 11  
 0.475148914734884E-02  0.112287887912842E+00 -0.112287887912843E+00 32 1 14 19 18 13  
 0.252527515029889E+00  0.176776695296637E-01 -0.176776695296637E-01 33 1 18 20 15 13  
 0.747472484970111E+00  0.176776695296636E-01 -0.176776695296637E-01 36 1 20 21 16 15  
 0.995248510852651E+00  0.112287887912842E+00 -0.112287887912843E+00 38 1 21 22 17 16  
