-0.430000015673873E-01 -0.106066017178825E+00  0.106066017178826E+00 1 2 1 9 4  
-0.430000015673867E-01  0.106066017178817E+00  0.106066017178831E+00 1 1 4 19 1  
-0.430000015673865E-01  0.106066017178816E+00 -0.106066017178830E+00 2 1 19 14 1  
-0.430000015673871E-01 -0.106066017178824E+00 -0.106066017178824E+00 3 1 14 9 1  
 0.104300000156739E+01  0.106066017178814E+00  0.106066017178807E+00 5 2 2 22 7  
 0.104300000156739E+01 -0.106066017178749E+00  0.106066017178761E+00 5 1 7 12 2  
 0.104300000156739E+01 -0.106066017178823E+00 -0.106066017178854E+00 6 1 12 17 2  
 0.104300000156739E+01  0.106066017178887E+00 -0.106066017178901E+00 7 1 17 22 2  
 0.204314040760457E-01  0.132820062314053E+00  0.132820062314051E+00 9 2 3 18 19 4  
 0.204314040760531E-01 -0.132820062314049E+00  0.132820062314049E+00 9 1 4 9 8 3  
 0.260868315024692E+00 -0.410121944171463E-01  0.410121944171549E-01 10 1 8 10 5 3  
 0.260868315024692E+00  0.410121944171463E-01  0.410121944171549E-01 11 1 5 20 18 3  
 0.739131684975313E+00 -0.410121944171662E-01  0.410121944171349E-01 15 1 10 11 6 5  
 0.739131684975313E+00  0.410121944171662E-01  0.410121944171349E-01 16 1 6 21 20 5  
 0.979568595923975E+00 -0.132820062314059E+00  0.132820062314060E+00 18 2 6 11 12 7  
 0.979568595923979E+00  0.132820062314058E+00  0.132820062314064E+00 18 1 7 22 21 6  
 0.204314040760438E-01 -0.132820062314052E+00 -0.132820062314053E+00 23 1 9 14 13 8  
 0.260868315024692E+00 -0.410121944171549E-01 -0.410121944171465E-01 24 1 13 15 10 8  
 0.739131684975313E+00 -0.410121944171366E-01 -0.410121944171648E-01 27 1 15 16 11 10  
 0.979568595923965E+00 -0.132820062314057E+00 -0.132820062314053E+00 29 1 16 17 12 11  
 0.204314040760364E-01  0.132820062314056E+00 -0.132820062314054E+00 32 1 14 19 18 13  
 0.260868315024691E+00  0.410121944171452E-01 -0.410121944171560E-01 33 1 18 20 15 13  
 0.739131684975313E+00  0.410121944171664E-01 -0.410121944171348E-01 36 1 20 21 16 15  
 0.979568595923969E+00  0.132820062314057E+00 -0.132820062314057E+00 38 1 21 22 17 16  
